Comment,Designator,Footprint,LCSC,Quantity
3.3K,R5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C114531,1
SUD50P06-15-GE3,"Q2,Q5,Q7",TO-252-3_L6.5-W5.8-P4.58-BL,C141584,3
0.1µF,C6,C0603,C14663,1
Polyfuse,F2,F0805,C22435897,1
0.1/1% (PT2512FK-070R1L),R63,R2512,C23067426,1
FDS4435BZ,"U10,U11,U12,U13",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C23931,4
330uF 50V,C4,CP_Elec_10x10,C2687701,1
GPS 4 pin 2.54-1*4P母,H9,GPS4pin_HDR-TH_4P-P2.54-V-F,C2718488,1
XL-2835UWC-02,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED6,LED7,LED8,LED9",LED-SMD_L3.5-W2.8-RD_1.25T-2PWT,C2843876,48
Raw Input,"P1,P2,P3,P4",CONN-TH_2P-P5.08_DIBO_DB142R-5.08-2P,C2898709,4
10k,"R64,R65",R0603,C2930027,2
FRC0805F30R0TS,"R10,R11,R12,R13,R14,R15,R2,R3,R51,R52,R53,R55,R6,R7,R8,R9",R0805,C2934094,16
0.1uF 50V,"C2,C3,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2976900,3
Female Inv Socket Pi 2.54-2*20,U16,HDR-TH_40P-P2.54-H-F-R2-C20-W8.5,C2977589,1
BC817,"Q1,Q10,Q11,Q4,Q6,Q8,Q9",SOT-23,C39828,7
ESD12VD3B-TP,"D30,D31,D32,D33",D_SOD-323,C435886,4
CD74HC4067M96E4,"U8,U9",SOIC-24_L15.4-W7.5-P1.27-LS10.3-BL,C496123,2
Attractor,"A1,A2,A3",HDR-TH_4P-P2.54-H-M-W10.4,C49661,3
0.1uF,"C16,C17",C_0805_2012Metric,C49678,2
5A 47uH,L1,L_Chilisin_BMRG00131360,C497913,1
GPs 5 pin PM2.54-1*5,U17,GPS5pin_HDR-TH_5P-P2.54-V-F,C5116488,1
XL4015E1,U3,TO-263-5_L10.2-W8.9-P1.70-TL,C51661,1
RASPBERRY_PI_5,U5,EPAPER_PinHeader_2x20_P2.54mm_Vertical,C5224014,1
Days,"U1,U2,U6,U7",SW-SMD_SMXS-08K-TP,C5439767,4
SK54C,E3,SMC_L6.9-W5.9-LS8.0-RD,C5449119,1
10k,"R1,R4,R57,R69,R77,R78,R81,R82",R_0805_2012Metric,C84376,8
INA219BIDCNT,U19,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,C87469,1
470uF 50V,C1,CP_Elec_10x12.5,C90272,1
1k,"R54,R66,R75,R76,R79,R80",R_0805_2012Metric,C95781,6
+12VLED R,TP6,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
+12VLED L,TP5,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
VIN_-,TP4,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
A0_meas,TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
A1_meas,TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
5V_test,TP3,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
LEDCTRL_R,TP8,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
LEDCTRL_L,TP7,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
