Designator,Mid X,Mid Y,Rotation,Layer
C1,130.28,-70.525671,0.0,bottom
C10,11.080671,-74.295671,180.0,top
C11,11.040671,-71.715671,180.0,top
C13,-50.29,-17.885671,90.0,bottom
C14,-8.13,-68.720671,0.0,top
C15,8.6,-76.610671,180.0,top
C16,8.55,-69.650671,180.0,top
C17,-8.15,-70.720671,0.0,top
C18,-10.38,-17.585671,90.0,bottom
C2,128.47,-60.125671,90.0,top
C3,130.67,-60.175671,90.0,top
C4,126.63,-42.335671,270.0,bottom
C5,119.9,-44.105671,90.0,bottom
C6,23.5,-61.125671,270.0,top
C7,16.05,-61.135671,270.0,top
C8,18.17,-65.775671,270.0,top
C9,8.59,-78.700671,180.0,top
D1,-66.5,10.044328,270.0,top
D10,125.5,-13.765671,180.0,top
D11,142.385164,2.557452,180.0,top
D12,137.409999,-97.741981,180.0,top
D13,58.369998,18.279328,180.0,top
D14,43.6525,-71.859733,0.0,top
D15,149.379999,22.924329,180.0,top
D16,94.5375,-55.765671,180.0,top
D17,-11.620001,-31.736097,180.0,top
D18,156.309999,-22.765671,180.0,top
D19,88.372006,-95.575671,90.0,top
D2,-69.649999,-69.74067,90.0,top
D20,88.652501,7.23433,0.0,top
D21,-7.567143,-56.688171,270.0,top
D22,-11.057143,-56.698171,270.0,top
D23,11.572857,-56.668171,270.0,top
D24,8.332857,-56.688171,270.0,top
D25,5.072857,-56.688171,270.0,top
D26,2.052857,-56.688171,270.0,top
D27,-1.037143,-56.688171,270.0,top
D28,-4.067143,-56.688171,270.0,top
D29,67.51,9.314329,0.0,bottom
D3,81.4375,-24.765671,180.0,top
D30,-5.21,26.851829,270.0,bottom
D31,29.49,30.494329,270.0,bottom
D33,-9.0575,-74.935671,180.0,top
D36,107.18,-31.323171,90.0,bottom
D4,-67.5,-25.955672,270.0,top
D5,-1.499998,-98.665671,0.0,top
D6,-47.410479,-98.315671,0.0,top
D7,9.812498,-3.765671,0.0,top
D8,-41.263208,2.434328,0.0,top
D9,-36.487497,-69.765672,0.0,top
E1,146.1,-69.225671,180.0,bottom
E2,147.82,-83.995671,270.0,top
E3,104.61,-48.055671,0.0,bottom
E4,146.98,-40.993171,90.0,top
F1,131.93,-82.515671,0.0,bottom
J1,158.5,-75.765671,270.0,bottom
J2,107.19,-53.740671,0.0,bottom
J4,-32.55068,-0.861808,180.0,bottom
J5,-52.5,20.694329,180.0,bottom
J7,95.75,-39.615671,0.0,bottom
L1,134.3,-44.423171,180.0,top
Q1,134.96,-91.765671,0.0,bottom
Q10,121.88,-32.113171,180.0,bottom
Q11,15.49,31.214329,0.0,bottom
Q2,108.81,-42.835671,0.0,bottom
Q3,118.55,-40.205671,180.0,bottom
Q4,41.22,3.516829,180.0,top
Q5,115.7,-3.108171,0.0,top
Q6,52.87,4.751829,0.0,top
Q7,109.73,2.756829,180.0,top
Q8,69.685,-5.155671,270.0,bottom
Q9,9.05,24.566829,180.0,bottom
R1,117.61,-44.235671,270.0,bottom
R10,8.36,-60.845671,90.0,top
R11,1.850671,-79.025671,270.0,top
R12,5.108571,-60.845671,90.0,top
R13,2.064762,-60.845671,90.0,top
R14,-1.049047,-60.845671,90.0,top
R15,-4.06381,-60.845671,90.0,top
R16,-41.25,16.074329,90.0,bottom
R17,-36.11,16.074329,90.0,bottom
R18,-31.01,16.074329,90.0,bottom
R19,-20.84,16.074329,90.0,bottom
R2,118.61,-37.065671,0.0,bottom
R20,-56.61,-33.268909,0.0,bottom
R21,-56.61,-28.055671,0.0,bottom
R22,-56.61,-3.565671,0.0,bottom
R23,-56.61,1.674329,0.0,bottom
R24,-56.61,6.634329,0.0,bottom
R25,-56.61,-20.575671,0.0,bottom
R26,-56.61,-15.485671,0.0,bottom
R27,-56.61,-10.455671,0.0,bottom
R28,-43.77,16.074329,90.0,bottom
R29,-38.68,16.074329,90.0,bottom
R3,150.61,-69.215671,0.0,bottom
R30,-33.54,16.074329,90.0,bottom
R31,-28.52,16.074329,90.0,bottom
R32,-23.4,16.074329,90.0,bottom
R33,-18.32,16.074329,90.0,bottom
R34,-56.61,-35.585671,0.0,bottom
R35,-56.61,-30.66229,0.0,bottom
R36,-56.61,-5.985671,0.0,bottom
R37,-56.61,-0.905671,0.0,bottom
R38,-56.61,4.064329,0.0,bottom
R39,-56.61,9.174329,0.0,bottom
R4,128.43,-55.065671,270.0,top
R40,-56.61,-23.105671,0.0,bottom
R41,-56.61,-18.045671,0.0,bottom
R42,-56.61,-12.995671,0.0,bottom
R5,130.59,-55.055671,90.0,top
R51,49.47,4.871829,90.0,top
R52,107.49,-4.475671,270.0,top
R53,56.45,4.701829,90.0,top
R54,106.13,2.796829,270.0,top
R55,-67.049999,-0.155671,90.0,top
R56,-69.7,-59.540671,270.0,top
R57,71.5375,-24.765671,0.0,top
R58,-67.849999,-36.255671,90.0,top
R59,8.450001,-98.565671,180.0,top
R6,16.07,-65.735671,90.0,top
R60,-37.560478,-98.565671,180.0,top
R61,19.712499,-3.515672,180.0,top
R62,-31.513208,2.034329,180.0,top
R63,-26.287499,-70.415672,180.0,top
R64,115.299999,-14.015671,0.0,top
R65,132.537664,2.557452,0.0,top
R66,127.409999,-97.740671,0.0,top
R67,48.407498,18.279329,0.0,top
R68,53.4625,-71.765671,180.0,top
R69,139.379999,22.924329,0.0,top
R7,-7.57,-60.845671,90.0,top
R70,84.5375,-55.765671,0.0,top
R71,-21.620001,-31.730671,0.0,top
R72,146.499999,-22.765671,0.0,top
R73,88.5,-85.765671,270.0,top
R74,98.4625,7.23433,180.0,top
R75,69.745,-8.665671,0.0,bottom
R76,12.26,24.634329,270.0,bottom
R77,69.765,-1.845671,180.0,bottom
R78,5.8525,24.441829,90.0,bottom
R79,118.40125,-31.965671,90.0,bottom
R8,-11.05,-60.845671,90.0,top
R80,12.26,31.164329,90.0,bottom
R81,125.39,-32.075671,270.0,bottom
R82,18.69,31.174329,270.0,bottom
R9,11.592381,-60.845671,90.0,top
RJ1,111.93,23.534329,0.0,bottom
SW1,23.68,-66.695671,0.0,top
SW2,-36.11,24.491829,90.0,bottom
SW3,-20.85,24.521829,90.0,bottom
SW4,-66.55,-31.795671,0.0,bottom
SW5,-66.55,1.614329,0.0,bottom
SW6,-66.55,-16.765671,0.0,bottom
U1,144.835,-57.811342,0.0,top
U10,112.98125,-30.460671,270.0,bottom
U11,23.84,29.654329,90.0,bottom
U12,-3.37,-8.513171,270.0,bottom
U13,-43.31,-8.603171,270.0,bottom
U2,158.6,-55.765671,90.0,bottom
U5,-0.15,-71.485671,90.0,top
U6,19.66,-61.125671,180.0,top
U8,71.19,3.744329,0.0,bottom
U9,0.5925,25.986829,270.0,bottom
Y1,8.020671,-73.035671,90.0,top
