Designator,Footprint,Quantity,Value,LCSC Part #
"A1, A2, A3",attractor,3,Attractor,
C1,CP_Elec_10x12.5,1,470uF 50V,
"C10, C11",0805,2,12pF,
"C13, C14, C15, C16, C18, C9",0805,6,0.1uF,
"C17, C6, C7",0805,3,1uF,
"C2, C3, C5",0805,3,0.1uF 50V,
C4,CP_Elec_10x10,1,330uF 50V,
C8,0805,1,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,20,LED,
"D21, D22, D23, D24, D25, D26, D27, D28",0805,8,LED,
"D29, D30, D31, D36",D_SOD-323,4,ESD12VD3B-TP,
D33,LED_IN-PI33TBTPRPGPB,1,IN-PI33TBTPRPGPB,
E1,D_SOD-123F,1,BZT52Bxx,
E2,D_SMB,1,SMBJ36A,
E3,D_SOD-323,1,ESD5V0D3B,
E4,DIO_SK54C,1,SK54C,
F1,Fuseholder_Clip-5x20mm_Eaton_1A5601-01_Inline_P20.80x6.76mm_D1.70mm_Horizontal,1,7A Fuse,
J1,TerminalBlock_RND_205-00023_1x02_P10.00mm_Horizontal,1,Screw_Terminal_01x02,
J2,TYPEC31M17,1,TYPE-C-31-M-17,
J4,Untitled,1,GPS Header,
J5,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J7,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,DC Power Jack,
L1,L_Chilisin_BMRG00131360,1,5A 47uH,
Q1,TO-220-3_Vertical,1,IRF9540N,
"Q10, Q11, Q3, Q6, Q7, Q8, Q9",SOT-23,7,BC817,
"Q2, Q4, Q5",TO-252-2,3,"TJ10S04M3L,LXHQ",
"R1, R11, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41, R42, R51, R52, R6, R77, R78, R79, R82",0805,38,10k,
"R10, R12, R13, R14, R15, R2, R53, R54, R7, R75, R76, R8, R80, R81, R9",0805,15,1k,
R5,0805,1,3.3K,
"R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74",2512,20,170R,
RJ1,2512,1,0R,
SW1,SW_TS-1187A-B-A-B,1,SW_Push,
SW2,SW_DS04-254-2-07BK-SMT,1,Days,
SW3,SW_DS04-254-2-03BK-SMT,1,Power,
SW4,SW_DS04-254-2-04BK-SMT,1,Sequence+Toggle,
SW5,SW_DS04-254-2-07BK-SMT,1,Hours,
SW6,SW_DS04-254-2-06BK-SMT,1,Hours,
U1,CONV_XL4015,1,XL4015,
"U10, U11, U8, U9",SOIC-8_3.9x4.9mm_P1.27mm,4,IRF9335TRPBF,
"U12, U13",SOIC127P1030X265-24N,2,CD74HC4067M96E4,
U2,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,1,9V-36V to 12V 5A 60W,
U5,LQFP-32_7x7mm_P0.8mm,1,STM32L031K6Tx,
U6,SOT95P280X145-5N,1,TLV75733PDBVR,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
